Fecha,Semestre,Rival,Goles Newells,Goles rival,Resultado,Condición,Entrenador,Ídolo?,Técnico interino?,Presidente,Fui a la cnacha?
2012-02-11,1° 2012,Estudiantes LP,1,1,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-02-19,1° 2012,Argentinos Jrs,0,1,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-02-26,1° 2012,Belgrano,0,2,Derrota,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-03-04,1° 2012,Colón,0,3,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-03-11,1° 2012,Atlético Rafaela,1,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-03-17,1° 2012,Vélez Sarsfield,1,1,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-03-25,1° 2012,Racing Club,2,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,1
2012-04-01,1° 2012,Godoy Cruz,1,1,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-04-08,1° 2012,Banfield,3,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-04-15,1° 2012,Arsenal,1,1,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-04-22,1° 2012,All Boys,1,1,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-04-29,1° 2012,Olimpo,1,2,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-05-06,1° 2012,Unión,3,1,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-05-12,1° 2012,Tigre,3,1,Derrota,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-05-20,1° 2012,San Lorenzo,2,3,Derrota,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-05-27,1° 2012,Independiente,2,0,Derrota,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-06-10,1° 2012,San Martín (SJ),0,0,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,1
2012-06-16,1° 2012,Lanús,0,1,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-06-24,1° 2012,Lanús,0,0,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-08-04,2° 2012,Independiente,0,0,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-08-13,2° 2012,Lanús,0,1,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-08-20,2° 2012,San Martín (SJ),2,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-08-26,2° 2012,Belgrano,0,0,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-09-02,2° 2012,Estudiantes LP,1,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-09-09,2° 2012,River Plate,3,3,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-09-16,2° 2012,San Lorenzo,1,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-09-22,2° 2012,Colón,1,2,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-09-30,2° 2012,Tigre,2,0,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-10-15,2° 2012,Vélez Sarsfield,0,1,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-10-21,2° 2012,Racing Club,0,0,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-10-28,2° 2012,Arsenal,2,0,Derrota,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-11-04,2° 2012,Godoy Cruz,1,1,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-11-11,2° 2012,Quilmes,0,0,Empate,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-11-18,2° 2012,Boca Juniors,0,0,Empate,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-11-25,2° 2012,All Boys,1,2,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-12-02,2° 2012,Unión,1,2,Derrota,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-12-05,2° 2012,Atlético Rafaela,0,3,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2012-12-09,2° 2012,Argentinos Jrs,0,1,Derrota,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2013-02-10,1° 2013,Independiente,1,3,Victoria,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2013-02-14,1° 2013,Olimpia (PAR),3,1,Victoria,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2013-02-16,1° 2013,Lanús,0,3,Derrota,Local,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
2013-02-21,1° 2013,Dep. Lara (VEN),2,1,Derrota,Visitante,"Gerardo ""Tata"" Martino",1,0,Guillermo Lorente,0
